no_of_dependents,education,self_employed,income_annum,loan_amount,loan_term,credit_score,total_asset,loan_status
0,Graduate,Yes,1300000,4800000,4,835,3300000,0
4,Graduate,No,2500000,5400000,10,592,9900000,1
0,Graduate,No,7500000,27300000,20,553,26200000,1
2,Graduate,No,700000,2000000,8,806,2200000,1
4,Graduate,Yes,8200000,28500000,2,378,26400000,1
1,Not Graduate,No,6900000,26200000,4,534,14900000,1
1,Not Graduate,Yes,1500000,5900000,16,400,4800000,0
3,Graduate,No,6300000,18300000,18,543,17700000,0
0,Not Graduate,Yes,8800000,25600000,10,715,34900000,1
4,Graduate,Yes,8900000,20700000,6,684,20400000,1
3,Not Graduate,Yes,2100000,6100000,8,346,4500000,0
1,Graduate,Yes,9200000,29200000,6,669,23400000,1
2,Not Graduate,No,3600000,8000000,12,566,8900000,1
0,Not Graduate,Yes,8600000,23600000,2,361,24700000,0
5,Graduate,No,3000000,8000000,6,333,8200000,0
3,Not Graduate,Yes,5200000,16300000,8,335,13600000,0
3,Graduate,Yes,7200000,20400000,10,558,27200000,1
1,Not Graduate,Yes,4000000,15600000,12,436,14800000,0
1,Not Graduate,No,2400000,5200000,2,371,8500000,0
2,Not Graduate,Yes,5500000,18400000,10,515,18500000,0
0,Not Graduate,Yes,9000000,24300000,10,599,26900000,1
0,Not Graduate,Yes,7900000,24000000,20,728,21800000,1
2,Not Graduate,Yes,6200000,21600000,20,679,24500000,1
3,Graduate,Yes,7900000,29200000,4,399,30200000,1
3,Not Graduate,No,1200000,4500000,6,819,4400000,1
1,Graduate,No,4700000,11700000,6,308,15100000,0
5,Graduate,Yes,5900000,15600000,2,730,15900000,1
4,Not Graduate,Yes,1400000,5100000,14,312,3200000,0
3,Not Graduate,Yes,4700000,12800000,16,740,11700000,1
5,Graduate,Yes,7600000,20000000,10,522,20400000,0
4,Graduate,No,7200000,16900000,4,702,22000000,1
4,Not Graduate,Yes,1400000,4300000,16,447,5300000,0
5,Graduate,No,1400000,2900000,4,829,5400000,1
2,Graduate,No,7900000,18500000,18,727,19600000,1
5,Not Graduate,Yes,7600000,18700000,14,509,22200000,0
3,Graduate,Yes,9600000,34200000,2,745,33000000,1
1,Not Graduate,No,2300000,6600000,18,513,9000000,0
2,Not Graduate,No,8100000,18500000,6,372,31000000,0
2,Graduate,Yes,300000,700000,4,411,1200000,0
4,Graduate,No,4700000,10800000,20,495,17000000,0
5,Not Graduate,No,1100000,2500000,4,827,4100000,1
4,Not Graduate,No,8600000,25100000,6,820,26000000,1
5,Graduate,Yes,8700000,28100000,10,660,25900000,1
0,Not Graduate,No,2200000,8600000,4,563,4400000,1
1,Not Graduate,Yes,500000,1400000,10,883,1700000,1
0,Not Graduate,Yes,9100000,22000000,12,387,31700000,0
1,Graduate,No,2200000,8700000,12,613,5700000,1
0,Not Graduate,Yes,2200000,8000000,14,335,6900000,0
1,Graduate,Yes,9600000,34500000,2,795,32000000,1
1,Graduate,Yes,6500000,13900000,8,369,17200000,0
